0:0,8:0,42:-0,5; 11:0,88:0,56:-0,13; 12:0,71:0,58:-0,19; 13:0,96:0,54:-0,57; 14:0,65:0,51:-0,62; 15:0,99:0,49:-1,18; 16:0,64:0,4:-0,98; 21:0,98:0,48:-1,2; 22:0,65:0,39:-0,99; 23:0,96:0,86:0,01; 24:0,86:0,95:-0,01; 25:1,17:0,94:-0,02; 26:0,91:1,22:-0,1; 27:1,4:1,01:0,17; 28:0,98:1,44:0,21; 31:1,49:1,01:-0,1; 32:0,97:1,53:-0,04
0:0,8:0,42:-0,52; 11:0,88:0,56:-0,14; 12:0,71:0,58:-0,23; 13:0,96:0,54:-0,57; 14:0,65:0,51:-0,71; 15:0,99:0,49:-1,17; 16:0,64:0,4:-1,14; 21:0,98:0,48:-1,19; 22:0,65:0,39:-1,15; 23:0,96:0,86:0,01; 24:0,86:0,95:-0,01; 25:1,17:0,94:-0,02; 26:0,91:1,22:-0,11; 27:1,4:1,01:0,17; 28:0,98:1,44:0,21; 31:1,5:1,01:-0,11; 32:0,97:1,53:-0,04
0:0,8:0,42:-0,5; 11:0,88:0,56:-0,11; 12:0,71:0,58:-0,21; 13:0,96:0,54:-0,52; 14:0,65:0,51:-0,69; 15:0,99:0,49:-1,11; 16:0,64:0,4:-1,12; 21:0,98:0,48:-1,13; 22:0,65:0,39:-1,13; 23:0,96:0,86:0,01; 24:0,86:0,95:-0,01; 25:1,17:0,94:-0,02; 26:0,91:1,22:-0,14; 27:1,4:1,01:0,17; 28:0,98:1,44:0,17; 31:1,49:1,01:-0,1; 32:0,97:1,53:-0,08
0:0,8:0,42:-0,57; 11:0,88:0,56:-0,15; 12:0,71:0,57:-0,24; 13:0,96:0,54:-0,58; 14:0,65:0,51:-0,68; 15:0,99:0,48:-1,18; 16:0,64:0,4:-1,09; 21:0,97:0,48:-1,2; 22:0,65:0,38:-1,1; 23:0,96:0,86:0,01; 24:0,86:0,94:-0,01; 25:1,17:0,94:-0,02; 26:0,91:1,22:-0,13; 27:1,4:1:0,16; 28:0,97:1,44:0,17; 31:1,49:1,01:-0,12; 32:0,97:1,53:-0,07
0:0,8:0,42:-0,51; 11:0,88:0,56:-0,13; 12:0,71:0,58:-0,2; 13:0,96:0,54:-0,54; 14:0,65:0,51:-0,61; 15:0,99:0,48:-1,12; 16:0,64:0,4:-0,97; 21:0,98:0,48:-1,14; 22:0,65:0,39:-0,98; 23:0,96:0,86:0,01; 24:0,86:0,95:-0,01; 25:1,17:0,94:-0,02; 26:0,91:1,22:-0,1; 27:1,4:1:0,18; 28:0,97:1,44:0,2; 31:1,49:1,01:-0,08; 32:0,97:1,53:-0,05
0:0,8:0,42:-0,5; 11:0,88:0,56:-0,13; 12:0,71:0,58:-0,19; 13:0,96:0,54:-0,57; 14:0,65:0,51:-0,62; 15:0,99:0,49:-1,18; 16:0,64:0,4:-0,98; 21:0,98:0,48:-1,2; 22:0,65:0,39:-0,99; 23:0,96:0,86:0,01; 24:0,86:0,95:-0,01; 25:1,17:0,94:-0,02; 26:0,91:1,22:-0,1; 27:1,4:1,01:0,17; 28:0,98:1,44:0,21; 31:1,49:1,01:-0,1; 32:0,97:1,53:-0,04
0:0,8:0,42:-0,52; 11:0,88:0,56:-0,14; 12:0,71:0,58:-0,23; 13:0,96:0,54:-0,57; 14:0,65:0,51:-0,71; 15:0,99:0,49:-1,17; 16:0,64:0,4:-1,14; 21:0,98:0,48:-1,19; 22:0,65:0,39:-1,15; 23:0,96:0,86:0,01; 24:0,86:0,95:-0,01; 25:1,17:0,94:-0,02; 26:0,91:1,22:-0,11; 27:1,4:1,01:0,17; 28:0,98:1,44:0,21; 31:1,5:1,01:-0,11; 32:0,97:1,53:-0,04
0:0,8:0,42:-0,5; 11:0,88:0,56:-0,11; 12:0,71:0,58:-0,21; 13:0,96:0,54:-0,52; 14:0,65:0,51:-0,69; 15:0,99:0,49:-1,11; 16:0,64:0,4:-1,12; 21:0,98:0,48:-1,13; 22:0,65:0,39:-1,13; 23:0,96:0,86:0,01; 24:0,86:0,95:-0,01; 25:1,17:0,94:-0,02; 26:0,91:1,22:-0,14; 27:1,4:1,01:0,17; 28:0,98:1,44:0,17; 31:1,49:1,01:-0,1; 32:0,97:1,53:-0,08
0:0,8:0,42:-0,48; 11:0,88:0,56:-0,09; 12:0,71:0,58:-0,2; 13:0,96:0,54:-0,51; 14:0,65:0,51:-0,69; 15:0,99:0,49:-1,07; 16:0,64:0,4:-1,12; 21:0,98:0,48:-1,09; 22:0,65:0,39:-1,13; 23:0,96:0,86:0,01; 24:0,86:0,95:-0,01; 25:1,17:0,94:-0,01; 26:0,91:1,22:-0,19; 27:1,4:1,01:0,18; 28:0,98:1,44:0,09; 31:1,49:1,01:-0,1; 32:0,97:1,53:-0,18
0:0,8:0,42:-0,57; 11:0,88:0,56:-0,15; 12:0,71:0,57:-0,24; 13:0,96:0,54:-0,58; 14:0,65:0,51:-0,68; 15:0,99:0,48:-1,18; 16:0,64:0,4:-1,09; 21:0,97:0,48:-1,2; 22:0,65:0,38:-1,1; 23:0,96:0,86:0,01; 24:0,86:0,94:-0,01; 25:1,17:0,94:-0,02; 26:0,91:1,22:-0,13; 27:1,4:1:0,16; 28:0,97:1,44:0,17; 31:1,49:1,01:-0,12; 32:0,97:1,53:-0,07
0:0,8:0,42:-0,51; 11:0,88:0,56:-0,13; 12:0,71:0,58:-0,2; 13:0,96:0,54:-0,54; 14:0,65:0,51:-0,61; 15:0,99:0,48:-1,12; 16:0,64:0,4:-0,97; 21:0,98:0,48:-1,14; 22:0,65:0,39:-0,98; 23:0,96:0,86:0,01; 24:0,86:0,95:-0,01; 25:1,17:0,94:-0,02; 26:0,91:1,22:-0,1; 27:1,4:1:0,18; 28:0,97:1,44:0,2; 31:1,49:1,01:-0,08; 32:0,97:1,53:-0,05
0:0,8:0,42:-0,5; 11:0,88:0,56:-0,13; 12:0,71:0,58:-0,19; 13:0,96:0,54:-0,57; 14:0,65:0,51:-0,62; 15:0,99:0,49:-1,18; 16:0,64:0,4:-0,98; 21:0,98:0,48:-1,2; 22:0,65:0,39:-0,99; 23:0,96:0,86:0,01; 24:0,86:0,95:-0,01; 25:1,17:0,94:-0,02; 26:0,91:1,22:-0,1; 27:1,4:1,01:0,17; 28:0,98:1,44:0,21; 31:1,49:1,01:-0,1; 32:0,97:1,53:-0,04
0:0,8:0,42:-0,52; 11:0,88:0,56:-0,14; 12:0,71:0,58:-0,23; 13:0,96:0,54:-0,57; 14:0,65:0,51:-0,71; 15:0,99:0,49:-1,17; 16:0,64:0,4:-1,14; 21:0,98:0,48:-1,19; 22:0,65:0,39:-1,15; 23:0,96:0,86:0,01; 24:0,86:0,95:-0,01; 25:1,17:0,94:-0,02; 26:0,91:1,22:-0,11; 27:1,4:1,01:0,17; 28:0,98:1,44:0,21; 31:1,5:1,01:-0,11; 32:0,97:1,53:-0,04
0:0,8:0,42:-0,5; 11:0,88:0,56:-0,11; 12:0,71:0,58:-0,21; 13:0,96:0,54:-0,52; 14:0,65:0,51:-0,69; 15:0,99:0,49:-1,11; 16:0,64:0,4:-1,12; 21:0,98:0,48:-1,13; 22:0,65:0,39:-1,13; 23:0,96:0,86:0,01; 24:0,86:0,95:-0,01; 25:1,17:0,94:-0,02; 26:0,91:1,22:-0,14; 27:1,4:1,01:0,17; 28:0,98:1,44:0,17; 31:1,49:1,01:-0,1; 32:0,97:1,53:-0,08
0:0,8:0,42:-0,48; 11:0,88:0,56:-0,09; 12:0,71:0,58:-0,2; 13:0,96:0,54:-0,51; 14:0,65:0,51:-0,69; 15:0,99:0,49:-1,07; 16:0,64:0,4:-1,12; 21:0,98:0,48:-1,09; 22:0,65:0,39:-1,13; 23:0,96:0,86:0,01; 24:0,86:0,95:-0,01; 25:1,17:0,94:-0,01; 26:0,91:1,22:-0,19; 27:1,4:1,01:0,18; 28:0,98:1,44:0,09; 31:1,49:1,01:-0,1; 32:0,97:1,53:-0,18
0:0,8:0,42:-0,48; 11:0,88:0,56:-0,1; 12:0,71:0,58:-0,2; 13:0,96:0,54:-0,51; 14:0,65:0,51:-0,7; 15:0,99:0,49:-1,08; 16:0,64:0,4:-1,17; 21:0,98:0,48:-1,11; 22:0,65:0,39:-1,18; 23:0,96:0,86:0,01; 24:0,86:0,95:-0,01; 25:1,17:0,94:-0,01; 26:0,91:1,22:-0,17; 27:1,4:1,01:0,18; 28:0,98:1,44:0,12; 31:1,49:1,01:-0,1; 32:0,97:1,53:-0,14
