0:0,5232941508293152:0,32808324694633484:-0,6040858626365662; 11:0,5255919694900513:0,3875507414340973:-0,3077717125415802; 12:0,42396998405456543:0,3403192162513733:-0,4068763852119446; 13:0,5872060656547546:0,44597211480140686:-0,23465514183044434; 14:0,3473103642463684:0,32533392310142517:-0,26525357365608215; 15:0,5553746819496155:0,45723238587379456:-0,17193849384784698; 16:0,28867262601852417:0,35320988297462463:-0,0941290557384491; 21:0,5400089621543884:0,45200201869010925:-0,17749421298503876; 22:0,28287792205810547:0,36740824580192566:-0,10110757499933243; 23:0,4317885637283325:0,5146944522857666:0,05715193599462509; 24:0,4113985300064087:0,5320874452590942:-0,05700625106692314; 25:0,4112849533557892:0,5155420303344727:0,35840079188346863; 26:0,4510442316532135:0,6519091129302979:0,07831677049398422; 27:0,3536270260810852:0,5350161790847778:0,7183475494384766; 28:0,4683800935745239:0,7570022344589233:0,28354376554489136; 31:0,3610280454158783:0,5348687767982483:0,7124372124671936; 32:0,48132452368736267:0,795660674571991:0,20594121515750885
0:0,5204834938049316:0,33459123969078064:-0,4988456964492798; 11:0,5290825963020325:0,4002314507961273:-0,23461538553237915; 12:0,42041993141174316:0,34967589378356934:-0,32453376054763794; 13:0,5904463529586792:0,4765850007534027:-0,28735557198524475; 14:0,3368511497974396:0,3542110025882721:-0,3112843632698059; 15:0,5660952925682068:0,47447729110717773:-0,5471752882003784; 16:0,2807518541812897:0,39046141505241394:-0,40489494800567627; 21:0,5475321412086487:0,4657617211341858:-0,5597751140594482; 22:0,27670222520828247:0,40547066926956177:-0,4210985004901886; 23:0,43620312213897705:0,5230419635772705:0,06364057958126068; 24:0,409566193819046:0,5268948078155518:-0,06346284598112106; 25:0,42151305079460144:0,6007855534553528:0,2313152253627777; 26:0,4500582814216614:0,6539280414581299:-0,1540328860282898; 27:0,3693985342979431:0,608679473400116:0,6324855089187622; 28:0,43311697244644165:0,7437588572502136:0,007224210537970066; 31:0,3654960095882416:0,6245551705360413:0,6917452216148376; 32:0,4516201317310333:0,7851015329360962:-0,057531747967004776
0:0,5191901922225952:0,32991456985473633:-0,530348002910614; 11:0,5357087254524231:0,39519116282463074:-0,2589985728263855; 12:0,41505563259124756:0,35331830382347107:-0,33879172801971436; 13:0,5906969904899597:0,47114256024360657:-0,3435102105140686; 14:0,327563613653183:0,391984760761261:-0,33271142840385437; 15:0,5889947414398193:0,5068866610527039:-0,6357635855674744; 16:0,2794038951396942:0,45763447880744934:-0,45132017135620117; 21:0,5774193406105042:0,5019954442977905:-0,6542959213256836; 22:0,2798348069190979:0,4757843315601349:-0,4688589870929718; 23:0,4462459087371826:0,5264891386032104:0,05708397924900055; 24:0,40615925192832947:0,5226887464523315:-0,0570177398622036; 25:0,46206122636795044:0,6349321007728577:0,10974501073360443; 26:0,4300842881202698:0,6469288468360901:-0,13424351811408997; 27:0,4117888808250427:0,6378454566001892:0,520759105682373; 28:0,3914489150047302:0,7383660674095154:0,06090768799185753; 31:0,40122583508491516:0,6776204705238342:0,5376141667366028; 32:0,40402692556381226:0,7737825512886047:-0,028433453291654587
0:0,5229120254516602:0,2823449373245239:-0,8172335028648376; 11:0,5354280471801758:0,32044506072998047:-0,2612459063529968; 12:0,4275490343570709:0,3483051359653473:-0,5602806210517883; 13:0,5132337808609009:0,3886011838912964:0,056744497269392014; 14:0,3956734538078308:0,456153005361557:-0,5423388481140137; 15:0,5127429962158203:0,4488670825958252:0,19995325803756714; 16:0,4258323609828949:0,5387760400772095:-0,5610499978065491; 21:0,516126275062561:0,4636193811893463:0,18651394546031952; 22:0,4455000162124634:0,5476552844047546:-0,5645334124565125; 23:0,4649874269962311:0,46137535572052:0,06454528868198395; 24:0,4082465171813965:0,4654758870601654:-0,06450039893388748; 25:0,5163388848304749:0,5410937070846558:-0,32652896642684937; 26:0,37844255566596985:0,5914462804794312:-0,1248960867524147; 27:0,47021788358688354:0,6399285197257996:0,020112143829464912; 28:0,3386729657649994:0,6966851353645325:0,14248554408550262; 31:0,4880673587322235:0,6923689842224121:-0,09709446132183075; 32:0,352835476398468:0,7468439340591431:-0,013328353874385357
0:0,5249506831169128:0,3013114929199219:-0,5876768827438354; 11:0,5392025113105774:0,3704518973827362:-0,21200528740882874; 12:0,4238916039466858:0,2929249107837677:-0,352397620677948; 13:0,597379207611084:0,4396498501300812:-0,31867215037345886; 14:0,3480461537837982:0,2896197736263275:-0,27356791496276855; 15:0,5569220781326294:0,40999045968055725:-0,623153567314148; 16:0,2983323335647583:0,3067171275615692:-0,25057080388069153; 21:0,5440787672996521:0,40414512157440186:-0,6327148675918579; 22:0,2929803133010864:0,31821176409721375:-0,2560834586620331; 23:0,45273277163505554:0,49408993124961853:0,08046720921993256; 24:0,41261786222457886:0,5046238303184509:-0,08022936433553696; 25:0,40653732419013977:0,49191850423812866:0,4397468864917755; 26:0,45872941613197327:0,6274209022521973:-0,11545274406671524; 27:0,34190091490745544:0,48298513889312744:0,8583910465240479; 28:0,4726582467556:0,7654234170913696:-0,09527213871479034; 31:0,3535372316837311:0,47128352522850037:0,8794491291046143; 32:0,49763989448547363:0,7964188456535339:-0,2550184428691864
0:0,5232941508293152:0,32808324694633484:-0,6040858626365662; 11:0,5255919694900513:0,3875507414340973:-0,3077717125415802; 12:0,42396998405456543:0,3403192162513733:-0,4068763852119446; 13:0,5872060656547546:0,44597211480140686:-0,23465514183044434; 14:0,3473103642463684:0,32533392310142517:-0,26525357365608215; 15:0,5553746819496155:0,45723238587379456:-0,17193849384784698; 16:0,28867262601852417:0,35320988297462463:-0,0941290557384491; 21:0,5400089621543884:0,45200201869010925:-0,17749421298503876; 22:0,28287792205810547:0,36740824580192566:-0,10110757499933243; 23:0,4317885637283325:0,5146944522857666:0,05715193599462509; 24:0,4113985300064087:0,5320874452590942:-0,05700625106692314; 25:0,4112849533557892:0,5155420303344727:0,35840079188346863; 26:0,4510442316532135:0,6519091129302979:0,07831677049398422; 27:0,3536270260810852:0,5350161790847778:0,7183475494384766; 28:0,4683800935745239:0,7570022344589233:0,28354376554489136; 31:0,3610280454158783:0,5348687767982483:0,7124372124671936; 32:0,48132452368736267:0,795660674571991:0,20594121515750885
0:0,5204834938049316:0,33459123969078064:-0,4988456964492798; 11:0,5290825963020325:0,4002314507961273:-0,23461538553237915; 12:0,42041993141174316:0,34967589378356934:-0,32453376054763794; 13:0,5904463529586792:0,4765850007534027:-0,28735557198524475; 14:0,3368511497974396:0,3542110025882721:-0,3112843632698059; 15:0,5660952925682068:0,47447729110717773:-0,5471752882003784; 16:0,2807518541812897:0,39046141505241394:-0,40489494800567627; 21:0,5475321412086487:0,4657617211341858:-0,5597751140594482; 22:0,27670222520828247:0,40547066926956177:-0,4210985004901886; 23:0,43620312213897705:0,5230419635772705:0,06364057958126068; 24:0,409566193819046:0,5268948078155518:-0,06346284598112106; 25:0,42151305079460144:0,6007855534553528:0,2313152253627777; 26:0,4500582814216614:0,6539280414581299:-0,1540328860282898; 27:0,3693985342979431:0,608679473400116:0,6324855089187622; 28:0,43311697244644165:0,7437588572502136:0,007224210537970066; 31:0,3654960095882416:0,6245551705360413:0,6917452216148376; 32:0,4516201317310333:0,7851015329360962:-0,057531747967004776
0:0,5191901922225952:0,32991456985473633:-0,530348002910614; 11:0,5357087254524231:0,39519116282463074:-0,2589985728263855; 12:0,41505563259124756:0,35331830382347107:-0,33879172801971436; 13:0,5906969904899597:0,47114256024360657:-0,3435102105140686; 14:0,327563613653183:0,391984760761261:-0,33271142840385437; 15:0,5889947414398193:0,5068866610527039:-0,6357635855674744; 16:0,2794038951396942:0,45763447880744934:-0,45132017135620117; 21:0,5774193406105042:0,5019954442977905:-0,6542959213256836; 22:0,2798348069190979:0,4757843315601349:-0,4688589870929718; 23:0,4462459087371826:0,5264891386032104:0,05708397924900055; 24:0,40615925192832947:0,5226887464523315:-0,0570177398622036; 25:0,46206122636795044:0,6349321007728577:0,10974501073360443; 26:0,4300842881202698:0,6469288468360901:-0,13424351811408997; 27:0,4117888808250427:0,6378454566001892:0,520759105682373; 28:0,3914489150047302:0,7383660674095154:0,06090768799185753; 31:0,40122583508491516:0,6776204705238342:0,5376141667366028; 32:0,40402692556381226:0,7737825512886047:-0,028433453291654587
0:0,5229120254516602:0,2823449373245239:-0,8172335028648376; 11:0,5354280471801758:0,32044506072998047:-0,2612459063529968; 12:0,4275490343570709:0,3483051359653473:-0,5602806210517883; 13:0,5132337808609009:0,3886011838912964:0,056744497269392014; 14:0,3956734538078308:0,456153005361557:-0,5423388481140137; 15:0,5127429962158203:0,4488670825958252:0,19995325803756714; 16:0,4258323609828949:0,5387760400772095:-0,5610499978065491; 21:0,516126275062561:0,4636193811893463:0,18651394546031952; 22:0,4455000162124634:0,5476552844047546:-0,5645334124565125; 23:0,4649874269962311:0,46137535572052:0,06454528868198395; 24:0,4082465171813965:0,4654758870601654:-0,06450039893388748; 25:0,5163388848304749:0,5410937070846558:-0,32652896642684937; 26:0,37844255566596985:0,5914462804794312:-0,1248960867524147; 27:0,47021788358688354:0,6399285197257996:0,020112143829464912; 28:0,3386729657649994:0,6966851353645325:0,14248554408550262; 31:0,4880673587322235:0,6923689842224121:-0,09709446132183075; 32:0,352835476398468:0,7468439340591431:-0,013328353874385357
0:0,5357593297958374:0,2637391686439514:-0,40747272968292236; 11:0,52512127161026:0,3018873929977417:-0,03167815878987312; 12:0,4511359632015228:0,3210315704345703:-0,3473595976829529; 13:0,4816639721393585:0,39094364643096924:0,03635937348008156; 14:0,45779138803482056:0,4182289242744446:-0,3371284008026123; 15:0,47470006346702576:0,4475911557674408:-0,1721259504556656; 16:0,5509558916091919:0,45322486758232117:-0,23329849541187286; 21:0,47251254320144653:0,458787202835083:-0,19519829750061035; 22:0,5680366158485413:0,4347570836544037:-0,22442840039730072; 23:0,46389663219451904:0,4664384722709656:0,06407862156629562; 24:0,4105013310909271:0,4615345001220703:-0,06403665989637375; 25:0,5098726153373718:0,5542017221450806:-0,16368336975574493; 26:0,3576027750968933:0,5414838790893555:0,20520028471946716; 27:0,5290370583534241:0,6983424425125122:-0,04295763373374939; 28:0,3090399205684662:0,5418933033943176:0,6560903191566467; 31:0,565071165561676:0,7264059782028198:-0,1421973705291748; 32:0,3101324439048767:0,574264407157898:0,6726620197296143
0:0,5249506831169128:0,3013114929199219:-0,5876768827438354; 11:0,5392025113105774:0,3704518973827362:-0,21200528740882874; 12:0,4238916039466858:0,2929249107837677:-0,352397620677948; 13:0,597379207611084:0,4396498501300812:-0,31867215037345886; 14:0,3480461537837982:0,2896197736263275:-0,27356791496276855; 15:0,5569220781326294:0,40999045968055725:-0,623153567314148; 16:0,2983323335647583:0,3067171275615692:-0,25057080388069153; 21:0,5440787672996521:0,40414512157440186:-0,6327148675918579; 22:0,2929803133010864:0,31821176409721375:-0,2560834586620331; 23:0,45273277163505554:0,49408993124961853:0,08046720921993256; 24:0,41261786222457886:0,5046238303184509:-0,08022936433553696; 25:0,40653732419013977:0,49191850423812866:0,4397468864917755; 26:0,45872941613197327:0,6274209022521973:-0,11545274406671524; 27:0,34190091490745544:0,48298513889312744:0,8583910465240479; 28:0,4726582467556:0,7654234170913696:-0,09527213871479034; 31:0,3535372316837311:0,47128352522850037:0,8794491291046143; 32:0,49763989448547363:0,7964188456535339:-0,2550184428691864
0:0,5232941508293152:0,32808324694633484:-0,6040858626365662; 11:0,5255919694900513:0,3875507414340973:-0,3077717125415802; 12:0,42396998405456543:0,3403192162513733:-0,4068763852119446; 13:0,5872060656547546:0,44597211480140686:-0,23465514183044434; 14:0,3473103642463684:0,32533392310142517:-0,26525357365608215; 15:0,5553746819496155:0,45723238587379456:-0,17193849384784698; 16:0,28867262601852417:0,35320988297462463:-0,0941290557384491; 21:0,5400089621543884:0,45200201869010925:-0,17749421298503876; 22:0,28287792205810547:0,36740824580192566:-0,10110757499933243; 23:0,4317885637283325:0,5146944522857666:0,05715193599462509; 24:0,4113985300064087:0,5320874452590942:-0,05700625106692314; 25:0,4112849533557892:0,5155420303344727:0,35840079188346863; 26:0,4510442316532135:0,6519091129302979:0,07831677049398422; 27:0,3536270260810852:0,5350161790847778:0,7183475494384766; 28:0,4683800935745239:0,7570022344589233:0,28354376554489136; 31:0,3610280454158783:0,5348687767982483:0,7124372124671936; 32:0,48132452368736267:0,795660674571991:0,20594121515750885
0:0,5204834938049316:0,33459123969078064:-0,4988456964492798; 11:0,5290825963020325:0,4002314507961273:-0,23461538553237915; 12:0,42041993141174316:0,34967589378356934:-0,32453376054763794; 13:0,5904463529586792:0,4765850007534027:-0,28735557198524475; 14:0,3368511497974396:0,3542110025882721:-0,3112843632698059; 15:0,5660952925682068:0,47447729110717773:-0,5471752882003784; 16:0,2807518541812897:0,39046141505241394:-0,40489494800567627; 21:0,5475321412086487:0,4657617211341858:-0,5597751140594482; 22:0,27670222520828247:0,40547066926956177:-0,4210985004901886; 23:0,43620312213897705:0,5230419635772705:0,06364057958126068; 24:0,409566193819046:0,5268948078155518:-0,06346284598112106; 25:0,42151305079460144:0,6007855534553528:0,2313152253627777; 26:0,4500582814216614:0,6539280414581299:-0,1540328860282898; 27:0,3693985342979431:0,608679473400116:0,6324855089187622; 28:0,43311697244644165:0,7437588572502136:0,007224210537970066; 31:0,3654960095882416:0,6245551705360413:0,6917452216148376; 32:0,4516201317310333:0,7851015329360962:-0,057531747967004776
0:0,5191901922225952:0,32991456985473633:-0,530348002910614; 11:0,5357087254524231:0,39519116282463074:-0,2589985728263855; 12:0,41505563259124756:0,35331830382347107:-0,33879172801971436; 13:0,5906969904899597:0,47114256024360657:-0,3435102105140686; 14:0,327563613653183:0,391984760761261:-0,33271142840385437; 15:0,5889947414398193:0,5068866610527039:-0,6357635855674744; 16:0,2794038951396942:0,45763447880744934:-0,45132017135620117; 21:0,5774193406105042:0,5019954442977905:-0,6542959213256836; 22:0,2798348069190979:0,4757843315601349:-0,4688589870929718; 23:0,4462459087371826:0,5264891386032104:0,05708397924900055; 24:0,40615925192832947:0,5226887464523315:-0,0570177398622036; 25:0,46206122636795044:0,6349321007728577:0,10974501073360443; 26:0,4300842881202698:0,6469288468360901:-0,13424351811408997; 27:0,4117888808250427:0,6378454566001892:0,520759105682373; 28:0,3914489150047302:0,7383660674095154:0,06090768799185753; 31:0,40122583508491516:0,6776204705238342:0,5376141667366028; 32:0,40402692556381226:0,7737825512886047:-0,028433453291654587
0:0,5229120254516602:0,2823449373245239:-0,8172335028648376; 11:0,5354280471801758:0,32044506072998047:-0,2612459063529968; 12:0,4275490343570709:0,3483051359653473:-0,5602806210517883; 13:0,5132337808609009:0,3886011838912964:0,056744497269392014; 14:0,3956734538078308:0,456153005361557:-0,5423388481140137; 15:0,5127429962158203:0,4488670825958252:0,19995325803756714; 16:0,4258323609828949:0,5387760400772095:-0,5610499978065491; 21:0,516126275062561:0,4636193811893463:0,18651394546031952; 22:0,4455000162124634:0,5476552844047546:-0,5645334124565125; 23:0,4649874269962311:0,46137535572052:0,06454528868198395; 24:0,4082465171813965:0,4654758870601654:-0,06450039893388748; 25:0,5163388848304749:0,5410937070846558:-0,32652896642684937; 26:0,37844255566596985:0,5914462804794312:-0,1248960867524147; 27:0,47021788358688354:0,6399285197257996:0,020112143829464912; 28:0,3386729657649994:0,6966851353645325:0,14248554408550262; 31:0,4880673587322235:0,6923689842224121:-0,09709446132183075; 32:0,352835476398468:0,7468439340591431:-0,013328353874385357
0:0,5357593297958374:0,2637391686439514:-0,40747272968292236; 11:0,52512127161026:0,3018873929977417:-0,03167815878987312; 12:0,4511359632015228:0,3210315704345703:-0,3473595976829529; 13:0,4816639721393585:0,39094364643096924:0,03635937348008156; 14:0,45779138803482056:0,4182289242744446:-0,3371284008026123; 15:0,47470006346702576:0,4475911557674408:-0,1721259504556656; 16:0,5509558916091919:0,45322486758232117:-0,23329849541187286; 21:0,47251254320144653:0,458787202835083:-0,19519829750061035; 22:0,5680366158485413:0,4347570836544037:-0,22442840039730072; 23:0,46389663219451904:0,4664384722709656:0,06407862156629562; 24:0,4105013310909271:0,4615345001220703:-0,06403665989637375; 25:0,5098726153373718:0,5542017221450806:-0,16368336975574493; 26:0,3576027750968933:0,5414838790893555:0,20520028471946716; 27:0,5290370583534241:0,6983424425125122:-0,04295763373374939; 28:0,3090399205684662:0,5418933033943176:0,6560903191566467; 31:0,565071165561676:0,7264059782028198:-0,1421973705291748; 32:0,3101324439048767:0,574264407157898:0,6726620197296143
