0,4683252274990082:0,2853216528892517:-0,40992841124534607; 0,4783814251422882:0,3486675024032593:-0,1777844876050949; 0,35317036509513855:0,3158632218837738:-0,2828388512134552; 0,5219316482543945:0,3966175615787506:-0,18652695417404175; 0,2634057402610779:0,32475027441978455:-0,1886654794216156; 0,5550896525382996:0,46849578619003296:-0,39763668179512024; 0,21788287162780762:0,35962697863578796:-0,11579819768667221; 0,5454221963882446:0,4848398268222809:-0,4211806356906891; 0,21394242346286774:0,3776611387729645:-0,12655077874660492; 0,3792904317378998:0,4775558412075043:0,09161130338907242; 0,3726939857006073:0,4831967353820801:-0,09141721576452255; 0,35631003975868225:0,5400499701499939:0,44087186455726624; 0,423196405172348:0,5491028428077698:0,09111412614583969; 0,28814059495925903:0,5859583020210266:0,8178478479385376; 0,4500511586666107:0,6265079379081726:0,29997768998146057; 0,29792356491088867:0,5991181135177612:0,8190779089927673; 0,4756796956062317:0,6444364786148071:0,22409778833389282
0,4676881730556488:0,2871452569961548:-0,5603715777397156; 0,47783392667770386:0,34363070130348206:-0,19477708637714386; 0,35138487815856934:0,30758771300315857:-0,3532809019088745; 0,558417558670044:0,39801594614982605:-0,21024878323078156; 0,2549969553947449:0,2962687313556671:-0,21824631094932556; 0,5322796106338501:0,39579784870147705:-0,3514593243598938; 0,21186946332454681:0,33427172899246216:-0,032124217599630356; 0,5129022598266602:0,3899928629398346:-0,3589248061180115; 0,2154843658208847:0,3477206230163574:-0,03003406710922718; 0,3791871964931488:0,46515634655952454:0,0869341492652893; 0,36573657393455505:0,4738219976425171:-0,08678039163351059; 0,33009082078933716:0,48407164216041565:0,4038500487804413; 0,4192565679550171:0,5539634823799133:-0,009865009225904942; 0,2610880434513092:0,4957624673843384:0,7566289305686951; 0,45401012897491455:0,6699265837669373:0,06233976036310196; 0,26338496804237366:0,4827772378921509:0,7527726888656616; 0,48301196098327637:0,678443431854248:-0,07899966835975647
0,4661558270454407:0,2924083471298218:-0,6866438388824463; 0,4765046238899231:0,3489118218421936:-0,3189789354801178; 0,35201019048690796:0,3198101818561554:-0,4801163673400879; 0,5507767796516418:0,40086281299591064:-0,179173082113266; 0,2657302916049957:0,3004809021949768:-0,32005685567855835; 0,5211289525032043:0,40714144706726074:-0,04144669696688652; 0,21042923629283905:0,32078057527542114:-0,1509999930858612; 0,5161835551261902:0,4029662311077118:-0,04599832370877266; 0,20540595054626465:0,33067795634269714:-0,1479852944612503; 0,3937774896621704:0,46243804693222046:0,08932442963123322; 0,3497634828090668:0,47885751724243164:-0,08910173922777176; 0,42928600311279297:0,42435726523399353:0,31867751479148865; 0,4055308699607849:0,5886518955230713:-0,24387763440608978; 0,460092157125473:0,4313613474369049:0,5900132060050964; 0,43828123807907104:0,7030534148216248:-0,1848660409450531; 0,4948617219924927:0,4149231016635895:0,5491706728935242; 0,4602867066860199:0,7159267067909241:-0,3519715666770935
0,46470218896865845:0,3208599388599396:-0,6141538023948669; 0,47601744532585144:0,3768104910850525:-0,2508564591407776; 0,3501163125038147:0,33524468541145325:-0,4467303156852722; 0,5521976351737976:0,43099963665008545:-0,28366267681121826; 0,2668623924255371:0,3197134733200073:-0,4378972351551056; 0,5210409164428711:0,4158983826637268:-0,5849781632423401; 0,21091040968894958:0,33663463592529297:-0,4961932301521301; 0,5045506358146667:0,41272953152656555:-0,6004095077514648; 0,20804360508918762:0,34550216794013977:-0,5051852464675903; 0,385372519493103:0,4955363869667053:0,08580717444419861; 0,34527620673179626:0,49697694182395935:-0,08558912575244904; 0,3479653298854828:0,4690517485141754:0,49500060081481934; 0,40487807989120483:0,5995637774467468:-0,047033824026584625; 0,28123602271080017:0,4809233248233795:0,8837440013885498; 0,429344117641449:0,7066641449928284:0,05791955813765526; 0,28797513246536255:0,47241050004959106:0,9024704098701477; 0,4536828398704529:0,7357407212257385:-0,06203077733516693
0,4683252274990082:0,2853216528892517:-0,40992841124534607; 0,4783814251422882:0,3486675024032593:-0,1777844876050949; 0,35317036509513855:0,3158632218837738:-0,2828388512134552; 0,5219316482543945:0,3966175615787506:-0,18652695417404175; 0,2634057402610779:0,32475027441978455:-0,1886654794216156; 0,5550896525382996:0,46849578619003296:-0,39763668179512024; 0,21788287162780762:0,35962697863578796:-0,11579819768667221; 0,5454221963882446:0,4848398268222809:-0,4211806356906891; 0,21394242346286774:0,3776611387729645:-0,12655077874660492; 0,3792904317378998:0,4775558412075043:0,09161130338907242; 0,3726939857006073:0,4831967353820801:-0,09141721576452255; 0,35631003975868225:0,5400499701499939:0,44087186455726624; 0,423196405172348:0,5491028428077698:0,09111412614583969; 0,28814059495925903:0,5859583020210266:0,8178478479385376; 0,4500511586666107:0,6265079379081726:0,29997768998146057; 0,29792356491088867:0,5991181135177612:0,8190779089927673; 0,4756796956062317:0,6444364786148071:0,22409778833389282
0,4676881730556488:0,2871452569961548:-0,5603715777397156; 0,47783392667770386:0,34363070130348206:-0,19477708637714386; 0,35138487815856934:0,30758771300315857:-0,3532809019088745; 0,558417558670044:0,39801594614982605:-0,21024878323078156; 0,2549969553947449:0,2962687313556671:-0,21824631094932556; 0,5322796106338501:0,39579784870147705:-0,3514593243598938; 0,21186946332454681:0,33427172899246216:-0,032124217599630356; 0,5129022598266602:0,3899928629398346:-0,3589248061180115; 0,2154843658208847:0,3477206230163574:-0,03003406710922718; 0,3791871964931488:0,46515634655952454:0,0869341492652893; 0,36573657393455505:0,4738219976425171:-0,08678039163351059; 0,33009082078933716:0,48407164216041565:0,4038500487804413; 0,4192565679550171:0,5539634823799133:-0,009865009225904942; 0,2610880434513092:0,4957624673843384:0,7566289305686951; 0,45401012897491455:0,6699265837669373:0,06233976036310196; 0,26338496804237366:0,4827772378921509:0,7527726888656616; 0,48301196098327637:0,678443431854248:-0,07899966835975647
0,4661558270454407:0,2924083471298218:-0,6866438388824463; 0,4765046238899231:0,3489118218421936:-0,3189789354801178; 0,35201019048690796:0,3198101818561554:-0,4801163673400879; 0,5507767796516418:0,40086281299591064:-0,179173082113266; 0,2657302916049957:0,3004809021949768:-0,32005685567855835; 0,5211289525032043:0,40714144706726074:-0,04144669696688652; 0,21042923629283905:0,32078057527542114:-0,1509999930858612; 0,5161835551261902:0,4029662311077118:-0,04599832370877266; 0,20540595054626465:0,33067795634269714:-0,1479852944612503; 0,3937774896621704:0,46243804693222046:0,08932442963123322; 0,3497634828090668:0,47885751724243164:-0,08910173922777176; 0,42928600311279297:0,42435726523399353:0,31867751479148865; 0,4055308699607849:0,5886518955230713:-0,24387763440608978; 0,460092157125473:0,4313613474369049:0,5900132060050964; 0,43828123807907104:0,7030534148216248:-0,1848660409450531; 0,4948617219924927:0,4149231016635895:0,5491706728935242; 0,4602867066860199:0,7159267067909241:-0,3519715666770935
0,46470218896865845:0,3208599388599396:-0,6141538023948669; 0,47601744532585144:0,3768104910850525:-0,2508564591407776; 0,3501163125038147:0,33524468541145325:-0,4467303156852722; 0,5521976351737976:0,43099963665008545:-0,28366267681121826; 0,2668623924255371:0,3197134733200073:-0,4378972351551056; 0,5210409164428711:0,4158983826637268:-0,5849781632423401; 0,21091040968894958:0,33663463592529297:-0,4961932301521301; 0,5045506358146667:0,41272953152656555:-0,6004095077514648; 0,20804360508918762:0,34550216794013977:-0,5051852464675903; 0,385372519493103:0,4955363869667053:0,08580717444419861; 0,34527620673179626:0,49697694182395935:-0,08558912575244904; 0,3479653298854828:0,4690517485141754:0,49500060081481934; 0,40487807989120483:0,5995637774467468:-0,047033824026584625; 0,28123602271080017:0,4809233248233795:0,8837440013885498; 0,429344117641449:0,7066641449928284:0,05791955813765526; 0,28797513246536255:0,47241050004959106:0,9024704098701477; 0,4536828398704529:0,7357407212257385:-0,06203077733516693
0,45843198895454407:0,345983624458313:-0,609886884689331; 0,4770302176475525:0,40267661213874817:-0,25772690773010254; 0,3459556996822357:0,3599753677845001:-0,4091147780418396; 0,5547266006469727:0,46372050046920776:-0,38479775190353394; 0,2606290280818939:0,349704384803772:-0,4205578863620758; 0,5136369466781616:0,4402250349521637:-0,6831349730491638; 0,20710298418998718:0,36841699481010437:-0,5401479601860046; 0,4840220808982849:0,4256259500980377:-0,6880048513412476; 0,20554572343826294:0,37865400314331055:-0,5504603981971741; 0,38209545612335205:0,5170601606369019:0,08036068826913834; 0,3401012122631073:0,5125904679298401:-0,08014559000730515; 0,3444788157939911:0,5683655142784119:0,40598779916763306; 0,4012978672981262:0,6119982004165649:-0,13303712010383606; 0,2870287299156189:0,500150740146637:0,9166754484176636; 0,4213429093360901:0,703602135181427:0,10312990844249725; 0,27420827746391296:0,4980456233024597:0,9771938920021057; 0,4393356442451477:0,7359564900398254:0,018236525356769562
0,4683252274990082:0,2853216528892517:-0,40992841124534607; 0,4783814251422882:0,3486675024032593:-0,1777844876050949; 0,35317036509513855:0,3158632218837738:-0,2828388512134552; 0,5219316482543945:0,3966175615787506:-0,18652695417404175; 0,2634057402610779:0,32475027441978455:-0,1886654794216156; 0,5550896525382996:0,46849578619003296:-0,39763668179512024; 0,21788287162780762:0,35962697863578796:-0,11579819768667221; 0,5454221963882446:0,4848398268222809:-0,4211806356906891; 0,21394242346286774:0,3776611387729645:-0,12655077874660492; 0,3792904317378998:0,4775558412075043:0,09161130338907242; 0,3726939857006073:0,4831967353820801:-0,09141721576452255; 0,35631003975868225:0,5400499701499939:0,44087186455726624; 0,423196405172348:0,5491028428077698:0,09111412614583969; 0,28814059495925903:0,5859583020210266:0,8178478479385376; 0,4500511586666107:0,6265079379081726:0,29997768998146057; 0,29792356491088867:0,5991181135177612:0,8190779089927673; 0,4756796956062317:0,6444364786148071:0,22409778833389282
