0:5,62:2,87:-1,95; 11:5,94:3,33:-0,62; 12:5,36:3,46:-0,89; 13:6,25:2,58:-0,33; 14:5,07:3,35:-2,02; 15:6,6:1,91:-0,03; 16:4,94:3,15:-3,92; 21:6,68:1,75:-0,09; 22:4,93:3,14:-4,07; 23:5,59:4,81:0,12; 24:5,25:4,65:-0,12; 25:5,52:5,96:0,3; 26:4,42:4,68:0,04; 27:5,53:7,15:0,63; 28:3,75:4,39:1,44; 31:5,49:7,52:-0,4; 32:3,48:4,18:1,02
0:5,62:2,88:-2,61; 11:5,96:3,33:-1,43; 12:5,4:3,44:-0,74; 13:6,28:2,58:-0,77; 14:5,15:3,34:-1,09; 15:6,62:1,91:-0,87; 16:4,96:3,12:-2,48; 21:6,71:1,75:-0,91; 22:4,93:3,1:-2,65; 23:5,6:4,81:0,01; 24:5,26:4,65:-0,01; 25:5,52:5,98:-0; 26:4,44:4,66:0,2; 27:5,54:7,17:0,53; 28:3,75:4,39:1,9; 31:5,48:7,52:-0,61; 32:3,48:4,17:1,45
0:5,58:2,88:-2,04; 11:5,94:3,31:-1,23; 12:5,4:3,42:0,16; 13:6,27:2,55:-0,92; 14:5,13:3,28:0,46; 15:6,61:1,88:-1,04; 16:4,94:3,09:-0,36; 21:6,69:1,73:-1,1; 22:4,91:3,07:-0,5; 23:5,58:4,8:-0,4; 24:5,26:4,64:0,4; 25:5,51:5,95:-0,72; 26:4,44:4,66:0,42; 27:5,53:7,15:-0,11; 28:3,75:4,38:1,82; 31:5,41:7,52:-1,28; 32:3,48:4,16:1,43
0:5,59:2,89:-2,13; 11:5,93:3,35:-1,32; 12:5,36:3,47:-0,29; 13:6,25:2,59:-2,03; 14:5,05:3,36:-0,81; 15:6,57:1,96:-2,6; 16:4,94:3,16:-2,38; 21:6,66:1,82:-2,66; 22:4,91:3,15:-2,52; 23:5,57:4,81:-0,44; 24:5,25:4,65:0,44; 25:5,52:5,96:-0,88; 26:4,44:4,69:0,6; 27:5,52:7,15:-0,43; 28:3,75:4,41:1,51; 31:5,42:7,5:-1,47; 32:3,48:4,18:1
0:5,6:2,87:-2,21; 11:5,93:3,33:-1,42; 12:5,36:3,46:-0,27; 13:6,25:2,57:-2,04; 14:5,06:3,35:-0,5; 15:6,58:1,91:-2,53; 16:4,93:3,14:-1,86; 21:6,66:1,75:-2,58; 22:4,89:3,12:-2,01; 23:5,57:4,81:-0,48; 24:5,25:4,65:0,48; 25:5,51:5,96:-0,84; 26:4,44:4,69:0,77; 27:5,52:7,15:-0,32; 28:3,74:4,4:1,94; 31:5,41:7,53:-1,35; 32:3,47:4,18:1,43
0:5,62:2,87:-1,95; 11:5,94:3,33:-0,62; 12:5,36:3,46:-0,89; 13:6,25:2,58:-0,33; 14:5,07:3,35:-2,02; 15:6,6:1,91:-0,03; 16:4,94:3,15:-3,92; 21:6,68:1,75:-0,09; 22:4,93:3,14:-4,07; 23:5,59:4,81:0,12; 24:5,25:4,65:-0,12; 25:5,52:5,96:0,3; 26:4,42:4,68:0,04; 27:5,53:7,15:0,63; 28:3,75:4,39:1,44; 31:5,49:7,52:-0,4; 32:3,48:4,18:1,02
0:5,62:2,88:-2,61; 11:5,96:3,33:-1,43; 12:5,4:3,44:-0,74; 13:6,28:2,58:-0,77; 14:5,15:3,34:-1,09; 15:6,62:1,91:-0,87; 16:4,96:3,12:-2,48; 21:6,71:1,75:-0,91; 22:4,93:3,1:-2,65; 23:5,6:4,81:0,01; 24:5,26:4,65:-0,01; 25:5,52:5,98:-0; 26:4,44:4,66:0,2; 27:5,54:7,17:0,53; 28:3,75:4,39:1,9; 31:5,48:7,52:-0,61; 32:3,48:4,17:1,45
0:5,58:2,88:-2,04; 11:5,94:3,31:-1,23; 12:5,4:3,42:0,16; 13:6,27:2,55:-0,92; 14:5,13:3,28:0,46; 15:6,61:1,88:-1,04; 16:4,94:3,09:-0,36; 21:6,69:1,73:-1,1; 22:4,91:3,07:-0,5; 23:5,58:4,8:-0,4; 24:5,26:4,64:0,4; 25:5,51:5,95:-0,72; 26:4,44:4,66:0,42; 27:5,53:7,15:-0,11; 28:3,75:4,38:1,82; 31:5,41:7,52:-1,28; 32:3,48:4,16:1,43
0:5,56:2,86:-1,54; 11:5,91:3,3:-0,72; 12:5,37:3,42:0,07; 13:6,26:2,54:-0,5; 14:5,15:3,38:-0,16; 15:6,59:1,86:0,1; 16:4,97:3,21:-1,34; 21:6,67:1,71:0,07; 22:4,96:3,17:-1,49; 23:5,57:4,8:-0,34; 24:5,25:4,64:0,34; 25:5,5:5,94:-0,59; 26:4,41:4,65:0,06; 27:5,51:7,14:-0,07; 28:3,7:4,39:0,78; 31:5,42:7,47:-1,1; 32:3,45:4,2:0,3
0:5,59:2,89:-2,13; 11:5,93:3,35:-1,32; 12:5,36:3,47:-0,29; 13:6,25:2,59:-2,03; 14:5,05:3,36:-0,81; 15:6,57:1,96:-2,6; 16:4,94:3,16:-2,38; 21:6,66:1,82:-2,66; 22:4,91:3,15:-2,52; 23:5,57:4,81:-0,44; 24:5,25:4,65:0,44; 25:5,52:5,96:-0,88; 26:4,44:4,69:0,6; 27:5,52:7,15:-0,43; 28:3,75:4,41:1,51; 31:5,42:7,5:-1,47; 32:3,48:4,18:1
0:5,6:2,87:-2,21; 11:5,93:3,33:-1,42; 12:5,36:3,46:-0,27; 13:6,25:2,57:-2,04; 14:5,06:3,35:-0,5; 15:6,58:1,91:-2,53; 16:4,93:3,14:-1,86; 21:6,66:1,75:-2,58; 22:4,89:3,12:-2,01; 23:5,57:4,81:-0,48; 24:5,25:4,65:0,48; 25:5,51:5,96:-0,84; 26:4,44:4,69:0,77; 27:5,52:7,15:-0,32; 28:3,74:4,4:1,94; 31:5,41:7,53:-1,35; 32:3,47:4,18:1,43
0:5,62:2,87:-1,95; 11:5,94:3,33:-0,62; 12:5,36:3,46:-0,89; 13:6,25:2,58:-0,33; 14:5,07:3,35:-2,02; 15:6,6:1,91:-0,03; 16:4,94:3,15:-3,92; 21:6,68:1,75:-0,09; 22:4,93:3,14:-4,07; 23:5,59:4,81:0,12; 24:5,25:4,65:-0,12; 25:5,52:5,96:0,3; 26:4,42:4,68:0,04; 27:5,53:7,15:0,63; 28:3,75:4,39:1,44; 31:5,49:7,52:-0,4; 32:3,48:4,18:1,02
0:5,62:2,88:-2,61; 11:5,96:3,33:-1,43; 12:5,4:3,44:-0,74; 13:6,28:2,58:-0,77; 14:5,15:3,34:-1,09; 15:6,62:1,91:-0,87; 16:4,96:3,12:-2,48; 21:6,71:1,75:-0,91; 22:4,93:3,1:-2,65; 23:5,6:4,81:0,01; 24:5,26:4,65:-0,01; 25:5,52:5,98:-0; 26:4,44:4,66:0,2; 27:5,54:7,17:0,53; 28:3,75:4,39:1,9; 31:5,48:7,52:-0,61; 32:3,48:4,17:1,45
0:5,58:2,88:-2,04; 11:5,94:3,31:-1,23; 12:5,4:3,42:0,16; 13:6,27:2,55:-0,92; 14:5,13:3,28:0,46; 15:6,61:1,88:-1,04; 16:4,94:3,09:-0,36; 21:6,69:1,73:-1,1; 22:4,91:3,07:-0,5; 23:5,58:4,8:-0,4; 24:5,26:4,64:0,4; 25:5,51:5,95:-0,72; 26:4,44:4,66:0,42; 27:5,53:7,15:-0,11; 28:3,75:4,38:1,82; 31:5,41:7,52:-1,28; 32:3,48:4,16:1,43
0:5,56:2,86:-1,54; 11:5,91:3,3:-0,72; 12:5,37:3,42:0,07; 13:6,26:2,54:-0,5; 14:5,15:3,38:-0,16; 15:6,59:1,86:0,1; 16:4,97:3,21:-1,34; 21:6,67:1,71:0,07; 22:4,96:3,17:-1,49; 23:5,57:4,8:-0,34; 24:5,25:4,64:0,34; 25:5,5:5,94:-0,59; 26:4,41:4,65:0,06; 27:5,51:7,14:-0,07; 28:3,7:4,39:0,78; 31:5,42:7,47:-1,1; 32:3,45:4,2:0,3
0:5,55:2,87:-2,14; 11:5,91:3,3:-1,29; 12:5,38:3,42:-0,28; 13:6,26:2,53:-1,69; 14:5,11:3,36:-1,08; 15:6,59:1,86:-1,85; 16:4,94:3,15:-3,03; 21:6,67:1,71:-1,89; 22:4,91:3,1:-3,19; 23:5,56:4,79:-0,4; 24:5,25:4,63:0,4; 25:5,49:5,92:-0,57; 26:4,41:4,65:0,38; 27:5,51:7,14:-0,05; 28:3,7:4,39:1,61; 31:5,4:7,48:-1,19; 32:3,44:4,18:1,07
